"id","temp","humidity","c_on"
"159","26.5","76.4","2019-01-26 13:28:07.663655"
"160","26.5","76.3","2019-01-26 13:28:12.069677"
"161","26.5","76.2","2019-01-26 13:28:13.305395"
"162","26.5","76","2019-01-26 13:28:17.088778"
"163","26.6","76.1","2019-01-26 13:28:17.787709"
"164","26.5","75.9","2019-01-26 13:28:18.470570"
"165","26.6","75.9","2019-01-26 13:28:28.353596"
"166","26.5","76.1","2019-01-26 13:28:29.072190"
"167","26.5","76.2","2019-01-26 13:28:29.785392"
"168","26.5","76","2019-01-26 13:28:30.507433"
"169","26.6","76.1","2019-01-26 13:28:33.782053"
"170","26.6","76","2019-01-26 13:28:35.038204"
"171","26.6","75.9","2019-01-26 13:28:39.308035"
"172","26.5","75.8","2019-01-26 13:28:40.027472"
"173","26.6","75.9","2019-01-26 13:28:40.745510"
"174","26.6","75.8","2019-01-26 13:28:41.457793"
"175","26.6","75.9","2019-01-26 13:28:50.366982"
"176","26.6","75.8","2019-01-26 13:28:51.085330"
"177","26.6","75.7","2019-01-26 13:28:52.823026"
"178","26.6","75.6","2019-01-26 13:28:56.100337"
"179","26.6","75.7","2019-01-26 13:28:56.817880"
"180","26.6","75.6","2019-01-26 13:28:58.021648"
"181","26.6","75.7","2019-01-26 13:28:58.762008"
"182","26.6","75.6","2019-01-26 13:28:59.482532"
"183","26.6","75.5","2019-01-26 13:29:03.885415"
"184","26.6","75.2","2019-01-26 13:29:07.650866"
"185","26.6","75","2019-01-26 13:29:11.458690"
"186","26.5","74.9","2019-01-26 13:29:12.166808"
"187","26.6","74.9","2019-01-26 13:29:12.896195"
"188","26.6","75","2019-01-26 13:29:19.264942"
"189","26.6","74.9","2019-01-26 13:29:23.118254"
"190","26.6","74.8","2019-01-26 13:29:24.363826"
"191","26.6","74.7","2019-01-26 13:29:25.596791"
"192","26.6","74.8","2019-01-26 13:29:30.920657"
"193","26.6","74.7","2019-01-26 13:29:31.672386"
"194","26.6","74.6","2019-01-26 13:29:32.891019"
"195","26.6","74.7","2019-01-26 13:29:33.577801"
"196","26.5","74.6","2019-01-26 13:29:34.299355"
"197","26.6","74.4","2019-01-26 13:29:38.083811"
"198","26.6","74.5","2019-01-26 13:29:38.811961"
"199","26.6","75.4","2019-01-26 13:29:39.522997"
"200","26.6","78.9","2019-01-26 13:29:42.739350"
"201","26.6","85.9","2019-01-26 13:29:45.969886"
"202","26.7","86.4","2019-01-26 13:29:46.692869"
"203","26.7","85.1","2019-01-26 13:29:47.399729"
"204","26.7","84.1","2019-01-26 13:29:48.116697"
"205","26.7","83.5","2019-01-26 13:29:48.835202"
"206","26.7","82.8","2019-01-26 13:29:49.529750"
"207","26.7","82.2","2019-01-26 13:29:50.212159"
"208","26.8","81.7","2019-01-26 13:29:50.907518"
"209","26.7","81.2","2019-01-26 13:29:51.604491"
"210","26.8","80.6","2019-01-26 13:29:54.827761"
"211","26.8","79.4","2019-01-26 13:29:55.602236"
"212","26.8","79.1","2019-01-26 13:29:56.340611"
"213","26.8","78.8","2019-01-26 13:29:57.050621"
"214","26.8","78.1","2019-01-26 13:30:00.300500"
"215","26.9","77.3","2019-01-26 13:30:01.028353"
"216","26.8","77","2019-01-26 13:30:02.565632"
"217","26.9","76.8","2019-01-26 13:30:03.246331"
"218","26.9","76.6","2019-01-26 13:30:04.303488"
"219","26.9","76.4","2019-01-26 13:30:05.224927"
"220","26.9","76.2","2019-01-26 13:30:06.240221"
"221","26.9","76","2019-01-26 13:30:08.209402"
"222","26.9","75.7","2019-01-26 13:30:09.223131"
"223","26.9","75.6","2019-01-26 13:30:09.944805"
"224","26.9","74.2","2019-01-26 13:30:20.762389"
"225","26.9","74","2019-01-26 13:30:21.431069"
"226","26.9","73.9","2019-01-26 13:30:22.189468"
"227","26.9","73.8","2019-01-26 13:30:23.447756"
"228","26.9","73.7","2019-01-26 13:30:29.817896"
"229","26.9","73.6","2019-01-26 13:30:31.025987"
"230","26.9","73.4","2019-01-26 13:30:34.227486"
"231","26.9","73.3","2019-01-26 13:30:34.924590"
"232","26.9","73.2","2019-01-26 13:30:38.168963"
"233","26.9","73.5","2019-01-26 13:30:41.379486"
"234","26.9","73.4","2019-01-26 13:30:42.084396"
"235","26.8","73.3","2019-01-26 13:30:42.778028"
"236","26.9","73.4","2019-01-26 13:30:45.970366"
"237","26.9","73.2","2019-01-26 13:30:46.638386"
"238","26.9","73.1","2019-01-26 13:30:52.419650"
"239","26.9","73","2019-01-26 13:30:53.143332"
"240","26.8","72.9","2019-01-26 13:30:53.860176"
"241","26.8","72.8","2019-01-26 13:30:54.573023"
"242","26.9","72.9","2019-01-26 13:30:55.304157"
"243","26.8","72.8","2019-01-26 13:30:55.994178"
"244","26.8","72.7","2019-01-26 13:30:56.837517"
"245","26.8","72.5","2019-01-26 13:31:01.622005"
"246","26.8","72.6","2019-01-26 13:31:02.357304"
